itemid,clock,value
174353218500022,1743591600,58
174353218500022,1743595200,66
174353218500022,1743598800,69
174353218500022,1743602400,66
174353218500022,1743606000,78
174353218500022,1743609600,71
174353218500022,1743613200,73
174353218500022,1743616800,64
174353218500022,1743620400,42
174353218500022,1743624000,62
174353218500022,1743627600,63
174353218500022,1743631200,61
174353218500022,1743634800,74
174353218500022,1743638400,66
174353218500022,1743642000,64
174353218500022,1743645600,62
174353218500022,1743649200,57
174353218500022,1743652800,60
174353218500022,1743656400,64
174353218500022,1743660000,59
174353218500022,1743663600,62
174353218500022,1743667200,74
174353218500022,1743670800,62
174353218500022,1743674400,67
174353218500022,1743678000,73
174353218500022,1743681600,67
174353218500022,1743685200,84
174353218500022,1743688800,82
174353218500022,1743692400,79
174353218500022,1743696000,81
174353218500022,1743699600,80
174353218500022,1743703200,75
174353218500022,1743706800,40
174353218500022,1743710400,67
174353218500022,1743714000,71
174353218500022,1743717600,59
174353218500022,1743721200,57
174353218500022,1743724800,73
174353218500022,1743728400,56
174353218500022,1743732000,52
174353218500022,1743735600,66
174353218500022,1743739200,49
174353218500022,1743742800,54
174353218500022,1743746400,59
174353218500022,1743750000,63
174353218500022,1743753600,59
174353218500022,1743757200,47
174353218500022,1743760800,52
174353218500022,1743764400,58
174353218500022,1743768000,74
174353218500022,1743771600,72
174353218500022,1743775200,68
174353218500022,1743778800,75
174353218500022,1743782400,62
174353218500022,1743786000,80
174353218500022,1743789600,67
174353218500022,1743793200,29
174353218500022,1743796800,68
174353218500022,1743800400,62
174353218500022,1743804000,76
174353218500022,1743807600,51
174353218500022,1743811200,68
174353218500022,1743814800,54
174353218500022,1743818400,63
174353218500022,1743822000,62
174353218500022,1743825600,58
174353218500022,1743829200,61
174353218500022,1743832800,62
174353218500022,1743836400,54
174353218500022,1743840000,64
174353218500022,1743843600,56
174353218500022,1743847200,60
174353218500022,1743850800,74
174353218500022,1743854400,66
174353218500022,1743858000,69
174353218500022,1743861600,64
174353218500022,1743865200,73
174353218500022,1743868800,78
174353218500022,1743872400,71
174353218500022,1743876000,74
174353218500022,1743879600,44
174353218500022,1743883200,70
174353218500022,1743886800,66
174353218500022,1743890400,74
174353218500022,1743894000,67
174353218500022,1743897600,67
174353218500022,1743901200,53
174353218500022,1743904800,56
174353218500022,1743908400,65
174353218500022,1743912000,65
174353218500022,1743915600,61
174353218500022,1743919200,59
174353218500022,1743922800,65
174353218500022,1743926400,68
174353218500022,1743930000,62
174353218500022,1743933600,73
174353218500022,1743937200,63
174353218500022,1743940800,63
174353218500022,1743944400,68
174353218500022,1743948000,65
174353218500022,1743951600,74
174353218500022,1743955200,83
174353218500022,1743958800,76
174353218500022,1743962400,72
174353218500022,1743966000,41
174353218500022,1743969600,72
174353218500022,1743973200,66
174353218500022,1743976800,67
174353218500022,1743980400,65
174353218500022,1743984000,69
174353218500022,1743987600,66
174353218500022,1743991200,61
174353218500022,1743994800,68
174353218500022,1743998400,55
174353218500022,1744002000,58
174353218500022,1744005600,71
174353218500022,1744009200,60
174353218500022,1744012800,60
174353218500022,1744016400,51
174353218500022,1744020000,63
174353218500022,1744023600,74
174353218500022,1744027200,68
174353218500022,1744030800,66
174353218500022,1744034400,77
174353218500022,1744038000,71
174353218500022,1744041600,79
174353218500022,1744045200,73
174353218500022,1744048800,71
174353218500022,1744052400,38
174353218500022,1744056000,62
174353218500022,1744059600,70
174353218500022,1744063200,73
174353218500022,1744066800,85
174353218500022,1744070400,69
174353218500022,1744074000,64
174353218500022,1744077600,70
174353218500022,1744081200,67
174353218500022,1744084800,57
174353218500022,1744088400,70
174353218500022,1744092000,52
174353218500022,1744095600,68
174353218500022,1744099200,69
174353218500022,1744102800,68
174353218500022,1744106400,71
174353218500022,1744110000,78
174353218500022,1744113600,62
174353218500022,1744117200,83
174353218500022,1744120800,75
174353218500022,1744124400,57
174353218500022,1744128000,74
174353218500022,1744131600,77
174353218500022,1744135200,75
174353218500022,1744138800,46
174353218500022,1744142400,70
174353218500022,1744146000,72
174353218500022,1744149600,71
174353218500022,1744153200,60
174353218500022,1744156800,62
174353218500022,1744160400,60
174353218500022,1744164000,69
174353218500022,1744167600,43
174353218500022,1744171200,62
174353218500022,1744174800,61
174353218500022,1744178400,55
174353218500022,1744182000,70
174353218500022,1744185600,58
174353218500022,1744189200,45
174353218500022,1744192800,67
174353218500022,1744196400,77
174353218500022,1744200000,73
174353218500022,1744203600,67
174353218500022,1744207200,72
174353218500022,1744210800,70
174353218500022,1744214400,82
174353218500022,1744218000,83
174353218500022,1744221600,81
174353218500022,1744225200,49
174353218500022,1744228800,73
174353218500022,1744232400,75
174353218500022,1744236000,72
174353218500022,1744239600,67
174353218500022,1744243200,58
174353218500022,1744246800,63
174353218500022,1744250400,67
174353218500022,1744254000,60
174353218500022,1744257600,67
174353218500022,1744261200,64
174353218500022,1744264800,57
174353218500022,1744268400,52
174353218500022,1744272000,48
174353218500022,1744275600,53
174353218500022,1744279200,56
174353218500022,1744282800,53
174353218500022,1744286400,73
174353218500022,1744290000,68
174353218500022,1744293600,78
174353218500022,1744297200,66
174353218500022,1744300800,88
174353218500022,1744304400,80
174353218500022,1744308000,77
174353218500022,1744311600,44
174353218500022,1744315200,84
174353218500022,1744318800,83
174353218500022,1744322400,75
174353218500022,1744326000,87
174353218500022,1744329600,74
174353218500022,1744333200,50
174353218500022,1744336800,50
174353218500022,1744340400,44
174353218500022,1744344000,56
174353218500022,1744347600,56
174353218500022,1744351200,53
174353218500022,1744354800,57
174353218500022,1744358400,45
174353218500022,1744362000,55
174353218500022,1744365600,53
174353218500022,1744369200,70
174353218500022,1744372800,68
